,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source
92,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,preparedness,"Artificial Intelligence, Remote sensing",Various,Global ,ITU,UNECE,None,"SDD 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/
93,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,response,"Artificial Intelligence, Remote sensing",Various,Global ,ITU,UNECE,None,"SDD 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/
94,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,recovery,"Artificial Intelligence, Remote sensing",Various,Global ,ITU,UNECE,None,"SDD 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/
95,AI-powered decision making for disaster recovery,"Artificial Intelligence can step in to coordinate disaster recovery operations and provide accurate geographic information to save lives, minimize property damage and enable responders to be quickly deployed in disaster affected regions.",Disaster Risk Management ,Seach and rescue,validation ,recovery,Artificial Intelligence,Various,Global ,ITU,None,None,No Information,2021,https://aiforgood.itu.int/event/ai-powered-decision-making-for-disaster-recovery/
96,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,preparedness,Artificial Intelligence,Various,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/
97,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,mitigation,Artificial Intelligence,Various,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/
98,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,response,Artificial Intelligence,Various,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/
99,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,recovery,Artificial Intelligence,Various,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/
100,Drones for disaster damage assessment in Vanuatu,"Cyclone Pam struck the South Pacific archipelago nation of Vanuatu on 13–14 March 2015. It was one of the worst disasters to hit Vanuatu, destroying thousands of buildings and leaving around 75 000 people homeless. Relief efforts were quickly organized, with a strong need for assessment of the areas affected. Drones were felt to be an ideal solution for rapid and granular evaluation of the situation, particularly since cloud cover obscured satellite images",Disaster Risk Management ,Disaster assessment/prediction and early warning systems ,production,recovery,Drones,Hurricanes/Typhoons/Cyclones,Vanuatu,"Humanitarian UAV Network (UAViators),  The Civil Aviation Authority of Vanuatu, World Bank, Government of Vanuatu",None,Spatial Data,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
101,Drones for disaster damage assessment in Vanuatu,"Cyclone Pam struck the South Pacific archipelago nation of Vanuatu on 13–14 March 2015. It was one of the worst disasters to hit Vanuatu, destroying thousands of buildings and leaving around 75 000 people homeless. Relief efforts were quickly organized, with a strong need for assessment of the areas affected. Drones were felt to be an ideal solution for rapid and granular evaluation of the situation, particularly since cloud cover obscured satellite images",Disaster Risk Management ,Disaster assessment/prediction and early warning systems ,production,mitigation,Drones,Hurricanes/Typhoons/Cyclones,Vanuatu,"Humanitarian UAV Network (UAViators),  The Civil Aviation Authority of Vanuatu, World Bank, Government of Vanuatu",None,Spatial Data,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
102,"Twitter during the Chennai flood, India","Monsoons regularly affect Southern India during the months of October to December. However, in 2015 the amount of rainfall was 90 per cent above normal, attributed to the El Niño effect. It was the worst rainfall in 100 years, causing severe flooding, which was magnified as a result of sprawling urban development and inadequate drainage systems. It was estimated that more than 500 people died and 1.8 million people were displaced during the several weeks of flooding. Although emergency telephone numbers were established, they were overloaded, making it difficult to get through, making social media such as Facebook and Twitter a popular method for communication for those with Internet access.",Risk Reduction,Emergency communications ,production,response,Social Media,Floods,India,Twitter India,None,None,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
103,"Financial big data for Hurricane Odile, Mexico","Researchers from BBVA Data and Analytics and United Nation Global Pulse used Big Data techniques to explore the relationship between financial transactions in the state (bank card payments and ATM cash withdrawals) before, during and after Odile, to analyse its economic impact on those affected. This analysis can improve understanding about which groups are most affected for targeting post-disaster assistance, how long it takes to return to normal, and how to generate estimates of the economic impact.",Risk Reduction,Disaster relief logistic/resource allocation ,production,mitigation ,"Big Data, Data Analysis",Hurricanes/Typhoons/Cyclones,Mexico,BBVA Data and Analytics,United Nation Global Pulse,Numerical Data,No Information,2014,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
104,Disaster robots in Japan: Little Sunfish and others,Japan is a pioneering centre for the use of robots in disasters. The Human–Robot Informatics Laboratory of Tohoku University31 is active in developing several types of robots for disaster response,Disaster Risk Management ,Seach and rescue,prototype,response,"Cyber Physical Systems, Remote Sensing",Various,Japan,"The Human–Robot Informatics Laboratory of Tohoku University, Hitachi, Mitsubishi, Toshiba, Honda",None,None,No Information,2017,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
105,Disaster robots in Japan: Little Sunfish and others,Japan is a pioneering centre for the use of robots in disasters. The Human–Robot Informatics Laboratory of Tohoku University31 is active in developing several types of robots for disaster response,Disaster Risk Management ,Seach and rescue,prototype,recovery,"Cyber Physical Systems, Remote Sensing",Various,Japan,"The Human–Robot Informatics Laboratory of Tohoku University, Hitachi, Mitsubishi, Toshiba, Honda",None,None,No Information,2017,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
106,Internet of Things for river flooding control in Colombia, The Colombia Government National Unit for Disaster Risk Management hired a Colombia-based company to implement an early warning system using IoT technology. Five solar-powered sensors were installed along the Liboriana and two other rivers to monitor water levels and air temperature using ultrasound. The use of solar ensures the sensors continue to function in the event of an electricity outage,Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Remote Sensing,Floods,Colombia," Government of Colombia, Colombia Government National Unit for Disaster Risk Management",None,None,No Information,2016,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
107,ConvNetQuake: Artificial intelligence for earthquake detection and prediction,"A new approach uses AI to reduce waveform analysis processing while retaining location information. Developed by a team of researchers at Harvard University and the Massachusetts Institute of Technology, ConvNetQuake implements AI based on convolutional neural network computer learning",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,"Artificial Intelligence, Machine Learning, Geographical Information Systems",Earthquakes,United States of America,"Harvard University, Massachusetts Institute of Technology",,Numerical Data,No Information,2018,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
108,: Using ground sensor technology to detect earthquakes,"One technique used in earthquake early warning systems is a network of specialized ground sensors similar to IoT. Seismic sensors are deployed in earthquake-prone areas. Data are transmitted from the sensors to a central site, where the information is processed for signals that might indicate an earthquake is likely. This method takes longer to detect earthquakes than a single station, but is more accurate and has greater resiliency.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Earthquakes,United States of America,No Information,No Information,Spatial Data,No Information,No Information,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf
109,Strong-motion seismograph networks(K-NET),"The Japan network K-NET (Kyoshin network) consists of more than 1 000 seismographs uniformly distributed every 20 km. Data are transmitted to the National Research Institute for Earth Science and Disaster Resilience, and made available to the public over a website",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Earthquakes,Japan,"K-NET (Kyoshin Network), KiK-net (Kiban Kyoshin Network) ",No Information,Spatial Data,No Information,2022,https://www.kyoshin.bosai.go.jp/
110,"Be Healthy, Be Mobile (BHBM)","The Be Healthy, Be Mobile (BHBM) initiative was set up by the World Health Organization (WHO) and the International Telecommunication union (ITU) in 2012. BHBM works with governments to scale up targeted client communication messaging services for NCDs and their risk factors. The approach is designed to be scalable: instead of promoting specific products, it provides cross-cutting health content and technical support which can be used and incorporated into other services and applications. It also works to develop the broader ecosystem, helping ensure that the messaging service and content of each health programme is integrated and reinforces other health services. In doing so, each programme becomes a sustainable part of the health system whilst also helping to promote health and wellbeing around the world.",Health,Emergency communcations ,production,preparedness,Mobile App,Various,Global,ITU,WHO,Mobile Network Data ,SDG 3,2019,https://www.who.int/activities/Addressing-mobile-health
111,"Be Healthy, Be Mobile (BHBM)","The Be Healthy, Be Mobile (BHBM) initiative was set up by the World Health Organization (WHO) and the International Telecommunication union (ITU) in 2012. BHBM works with governments to scale up targeted client communication messaging services for NCDs and their risk factors. The approach is designed to be scalable: instead of promoting specific products, it provides cross-cutting health content and technical support which can be used and incorporated into other services and applications. It also works to develop the broader ecosystem, helping ensure that the messaging service and content of each health programme is integrated and reinforces other health services. In doing so, each programme becomes a sustainable part of the health system whilst also helping to promote health and wellbeing around the world.",Health,Emergency communcations ,production,response,Mobile App,Various,Global,ITU,WHO,Mobile Network Data ,SDG 3,2019,https://www.who.int/activities/Addressing-mobile-health
112,GEOSS Global Earth Observation Portal ,"Global Earth Observation System of Systems (GEOSS) is a set of coordinated, independent Earth observation, information and processing systems that interact and provide access to diverse information for a broad range of users in both public and private sectors.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Geographical Information Systems,Various,Global,European Space Agency (ESA) ,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geoss-global-earth-observation-portal 
113,MapX: Open Source Environmental Web Mapping,"UNEP/GRID-Geneva and UN Environment have developed MapX, an online platform for managing geospatial data on natural resources. Field applications of MapX are varied and include chemicals management, disaster risk reduction, biodiversity planning, land use planning, extractive industry, renewable energy and environmental security. MapX targets a wide community of users that are primarily UN Environment and partners, the Secretariats of Multilateral Environmental Agreements (MEAs) and other UN agencies mandated to collect and use geospatial data in environmental decision making. Civil society groups, non-governmental organizations, academia and citizens complement this set of users. MapX was designed in 2014 and since then continuously improved with wide international stakeholder consultations. MapX is fully integrated into the World Environment Situation Room, which is the UNEP data and knowledge platform.",disaster risk reduction,Disaster Risk Management,production,preparedness,Data analysis ,Various,Global,GRID-Geneva,UNEP,"story mapping engine, dashboards for monitoring indicators",No Information,2015,https://www.mapx.org/
114,"Haze Gazer","Haze Gazer is a real-time visual analytics tool for enhanced disaster management. The forest and peatland fires, which occur on an annual basis in Indonesia, affect the entire Southeast Asian region resulting in extensive
environmental destruction and threatening livelihoods. Indonesian disaster management authorities are looking for more timely and effective
means of tracking and managing the impact of fire and haze events.

Pulse Lab Jakarta, in collaboration with the Government of Indonesia,
developed ‘Haze Gazer,’ a crisis analysis tool that provides real-time situational information from various data sources to enhance disaster
management efforts. The prototype uses advanced data analysis of sources including: satellite imagery, information on population density and
distribution from government databases, citizen-generated data and real-time data from social media. The capability afforded by the tool can
enhance disaster risk management efforts to protect vulnerable populations as well as the environment.",Disaster Risk Management,Disaster Risk Management,prototype,mitigation,Data analysis,Wildfires,Indonesia,Government of Indonesia,UN Global Pulse,Spatial Data,No Information,2016,http://hazegazer.org/
115,Low Cost Sensors for Pollution Monitoring,"Air quality data in many low and middle-income countries are difficult to acquire and manage. This is because the cost of regulatory grade instruments are prohibitive and equipment are difficult and costly to maintain. UN Environment has advocated for the use of low-cost sensors to fill the data gap and championed the development of an open source air quality monitoring device.
",disaster risk reduction,Disaster Risk Management,production,mitigation ,"Data analysis, Remote Sensing",Climate Change,Global,South Coast Science,"UN-Habitat, UNEP",vital parameters of air quality,"SDG11, SDG 3",2016,https://news.un.org/en/story/2015/09/507692-un-environment-agency-unveils-low-cost-device-air-quality-monitoring
116,ThinkHazard! Hazard Data Portal,"ThinkHazard! is a new web-based tool enabling non-specialists to consider the impacts of disasters on new development projects. Users of ThinkHazard! can quickly and robustly assess the level of river flood, earthquake, drought, cyclone, coastal flood, tsunami, volcano, and landslide hazard within their project area to assist with project planning and design.","Risk Reduction, Risk Prevention",Disaster assessment ,production,response,"Big Data, Data Extraction",Various,Global,Global Facility for Disaster Reduction and recovery ,None,"Spatial Data, Text Data",No Information,2017,https://gfdrr.github.io/thinkhazardmethods/ 
117,Freshwater Ecosystems Explorer,"The Freshwater Ecosystems Explorer is a free and easy to use data platform. It provides accurate, up-to-date, high-resolution geospatial data depicting  the extent freshwater ecosystems change over time. Data can be visualized and downloaded at national, sub-national, basin and sub-basin levels.",Clean water,Situational awareness/actionable information gathering,production,mitigation ,Geographical Information Systems,Droughts,Global,"Google Earth Engine, Joint Research Center (JRC) of the European Commission",UNEP,Spatial Data,SDG 6,2019,https://www.sdg661.app/
118,Freshwater Ecosystems Explorer,"The Freshwater Ecosystems Explorer is a free and easy to use data platform. It provides accurate, up-to-date, high-resolution geospatial data depicting  the extent freshwater ecosystems change over time. Data can be visualized and downloaded at national, sub-national, basin and sub-basin levels.",Clean water,Situational awareness/actionable information gathering,production,response,Geographical Information Systems,Droughts,Global,"Google Earth Engine, Joint Research Center (JRC) of the European Commission",UNEP,Spatial Data,SDG 6,2019,https://www.sdg661.app/
119,Freshwater Ecosystems Explorer,"The Freshwater Ecosystems Explorer is a free and easy to use data platform. It provides accurate, up-to-date, high-resolution geospatial data depicting  the extent freshwater ecosystems change over time. Data can be visualized and downloaded at national, sub-national, basin and sub-basin levels.",Clean water,Situational awareness/actionable information gathering,production,recovery,Geographical Information Systems,Droughts,Global,"Google Earth Engine, Joint Research Center (JRC) of the European Commission",UNEP,Spatial Data,SDG 6,2019,https://www.sdg661.app/
120,#JustSaveIt – Encouraging Usage of Agent-Based Bank Accounts to Improve Financial Inclusion,"The project aimed to encourage bank account usage – more specifically regular deposits made into agent-based bank accounts – through a series of WhatsApp messages sent to bank agents. The messages (i.e. graphics, comics, written text) were sent to shop owners (who were also bank agents), urging them to encourage their customers to save the change from purchases made at their shops in their bank accounts. The messages shared as part of the #TabunginAja (“#JustSaveIt”) campaign, were informed by BeSci and included setting specific goals and applying rules of thumb to prompt the target behaviour (e.g. to encourage agents to ask their customers to save their shopping change if the amount is less than USD0.35).",Finance,Situational awareness/actionable information gathering,production,mitigation,Mobile App,Various,Indonesia,The Secretariat of the Indonesian National Council for Financial Inclusion (S-DNKI),UN Pulse Lab Jakarta,"Mobile Network Data, Text Data","SDG 1, SDG 8, SDG 9",2021,https://www.bi.team/publications/justsaveit-encouraging-usage-of-agent-based-bank-accounts-to-improve-financial-inclusion/
121,UN Biodiversity Lab,"The UN Biodiversity Lab is a free, open-source mapping platform designed to inform biodiversity conservation and sustainable development decision-making. The lab has directly engaged 170 countries in creating data-driven Sixth National Reports on their progress towards achieving the 2020 Aichi Biodiversity Targets. Thus far, the platform has increased the level of spatial planning and reporting by a factor of 5 (based on reports submitted by December 2018). The UN Biodiversity Lab is a collaboration with UN Environment, UNDP, the Convention on Biological Diversity and the Global Environment Facility. It is powered by MapX. ",Biodiversity ,Situational awareness,production,mitigation,"Geographical Information Systems, Data Collection, Data Analysis, Web mapping",Various,Global,"GEF, UNEP-WCMC, MapX, GRID-Geneva, NASA","UNDP, UNEP and SCBD",Spatial Data,"SDG 9, SDG 10, SDG 14, SDG 15",2019,https://unbiodiversitylab.org/about/
122,UN Biodiversity Lab,"The UN Biodiversity Lab is a free, open-source mapping platform designed to inform biodiversity conservation and sustainable development decision-making. The lab has directly engaged 170 countries in creating data-driven Sixth National Reports on their progress towards achieving the 2020 Aichi Biodiversity Targets. Thus far, the platform has increased the level of spatial planning and reporting by a factor of 5 (based on reports submitted by December 2018). The UN Biodiversity Lab is a collaboration with UN Environment, UNDP, the Convention on Biological Diversity and the Global Environment Facility. It is powered by MapX. ",Biodiversity ,Situational awareness,production,preparedness,"Geographical Information Systems, Data Collection, Data Analysis, Web mapping",Various,Global,"GEF, UNEP-WCMC, MapX, GRID-Geneva, NASA","UNDP, UNEP and SCBD",Spatial Data,"SDG 9, SDG 10, SDG 14, SDG 15",2019,https://unbiodiversitylab.org/about/
123,The Lockdown Learners Series,"The “Lockdown Learners” is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,mitigation ,Mobile App,Various,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html
124,The Lockdown Learners Series,"The “Lockdown Learners” is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,response,Mobile App,Various,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html
125,The Lockdown Learners Series,"The “Lockdown Learners” is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,recovery,Mobile App,Various,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html
126,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,"Emergency communications, Situational awareness ",production,mitigation ,Mobile App,Pandemic/Epidemic,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)","
UNAIDS",Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true
127,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,"Emergency communications, Situational awareness ",production,response,Mobile App,Pandemic/Epidemic,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)","
UNAIDS",Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true
128,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,"Emergency communications, Situational awareness ",production,recovery,Mobile App,Pandemic/Epidemic,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)","
UNAIDS",Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true
129,Storytellers,"WFP Storytellers is an innovative communication concept that gives people in need the chance to produce and tell their own stories, using their own words and images, through a series of hands-on digital communications training. This involves courses in areas ranging from visual communication, such as photography or filming on a smartphone, to content optimization for social media and best practices in digital journalism. Through the Storytellers project, talented people among refugees, displaced and vulnerable communities will be able to act as communicators on behalf of WFP and share authentic stories with a large online audience. ",Humanitarian aid,Situational awareness/actionable information gathering,production,recovery,Internet of Things,Various,"Uganda, Guatemala, Chad, Jordan",No Information,WFP,Text Data,"SDG 1, SDG 2, SDG 8",2019,http://www.innovation.wfp.org/project/storytellers
130,Storytellers,"WFP Storytellers is an innovative communication concept that gives people in need the chance to produce and tell their own stories, using their own words and images, through a series of hands-on digital communications training. This involves courses in areas ranging from visual communication, such as photography or filming on a smartphone, to content optimization for social media and best practices in digital journalism. Through the Storytellers project, talented people among refugees, displaced and vulnerable communities will be able to act as communicators on behalf of WFP and share authentic stories with a large online audience. ",Humanitarian aid,Situational awareness/actionable information gathering,production,mitigation ,Internet of Things,Various,"Uganda, Guatemala, Chad, Jordan",No Information,WFP,Text Data,"SDG 1, SDG 2, SDG 8",2019,http://www.innovation.wfp.org/project/storytellers
131,Solving referral challenges for urban poor to access Emergency Obstetric and New-born Care,"Women and adolescent childbearing girls living in the slums in Bangladesh lack financial and geographic access to an evidence-based, timely, referral process from the midwifery centre to a specific referral hospital when required for continued management of high risk pregnant women and obstetric emergencies. So, the referral platform will provide access to continued comprehensive emergency obstetric and new-born care services when needed at the referral hospital for women by reducing the delay in reaching the hospital and improving quality of care.  Using a structured process for communication between midwife to driver, and the referring midwife and the receiving health care provider- seamless referrals and continuity of care will be provided. The main users of our platform are the midwives working in the midwifery centres and the transport drivers, both in the urban slum areas of Dhaka in Bangladesh, as well as the receiving health care provider at the referral facility. However, the pregnant women are the main beneficiaries of this intervention.  ",Health,Emergency communications,production,mitigation,Mobile App,Various,Bangladesh,BRAC and Obstetrical and Gynecological Society of Bangladesh ,UNFPA,"Mobile Network Data, Spatial Data",SDG 3,2020,https://www.linkedin.com/posts/md-azmal-hossain_solving-referral-challenges-for-urban-poor-ugcPost-6690461535158067200-NgxN
132,Saver Asia,"ILO’s TRIANGLE in ASEAN programme launched a new digital service SaverAsia to help migrant workers save when sending remittance home. The web portal helps compare costs and services for sending money through various operators. The application not only features information on financial services, including bank accounts, mobile wallets, micro-credits, insurance, but also financial literacy courses, and a budget calculator. Last but not least, it helps migrants connect with local support organisations.",Finance,Disaster Risk Management,production,response,Mobile App,Various,"Thailand, Philippines, Indonesia, Myanmar, Lao People’s Democratic Republic, Cambodia, Viet Nam, Malaysia","Developing Markets Associates (DMA), Australian Government Department of Foreign Affairs and Trade (DFAT) & Global Affairs Canada (GAC)",ILO,"Text Data, Numerical Data","SDG 1, SDG 8",2019,https://saverasia.com/
133,Saver Asia,"ILO’s TRIANGLE in ASEAN programme launched a new digital service SaverAsia to help migrant workers save when sending remittance home. The web portal helps compare costs and services for sending money through various operators. The application not only features information on financial services, including bank accounts, mobile wallets, micro-credits, insurance, but also financial literacy courses, and a budget calculator. Last but not least, it helps migrants connect with local support organisations.",Finance,Disaster Risk Management,production,mitigation,Mobile App,Various,"Thailand, Philippines, Indonesia, Myanmar, Lao People’s Democratic Republic, Cambodia, Viet Nam, Malaysia","Developing Markets Associates (DMA), Australian Government Department of Foreign Affairs and Trade (DFAT) & Global Affairs Canada (GAC)",ILO,"Text Data, Numerical Data","SDG 1, SDG 8",2019,https://saverasia.com/
134,"Qatalog – An analysis tool for insights into the SDGs","UN Global Pulse has developed an open software platform that UN Country Teams can use to increase the effectiveness and efficiency of their projects. The platform provides access to Qatalog, a data mining software analysis tool the Lab developed, and to additional source code and technical documentation from its repository of projects. Also it is a user-friendly tool that UN personnel can use to Querry, Assign, Tag, and Analyse data from public radio and public Facebook posts.",Monitoring System,Disaster Risk Management,production,mitigation,Data Mining,Various,Uganda,No Information,UN Global Pulse,"satellite imagery, information on population density and
distribution from government databases, citizen-generated data and real-time data from social media","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 6, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17",2018,https://www.unglobalpulse.org/project/qatalog-an-analysis-tool-for-insights-into-the-sdgs/
