,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Region,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source,imgurl
75,South Asia Drought Monitoring System,"The South Asia Drought Monitoring System (SADMS) was established in 2014 and provides weekly maps that reflects drought conditions in South Asia. The system uses numerous drought indices, including the Integrated Drought severity Index and Soil Moisture Index, to monitor and assess drought conditions. The system and its outcomes are imperative to decision-making process.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Droughts,Asia,"Bangladesh, India, Nepal, Pakistan, Sri Lanka","International Water Management Institute (IWMI), Sri Lanka",None,Spatial Data,No Information,2014,https://drrgateway.net/e-resilience/tool/south-asia-drought-monitoring-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/south-asia-drought-monitoring-system-e-resilience.jpg
76,Philippines Nationwide Operational Assessment of Hazards (NOAH),"The University of the Philippines Nationwide Operational Assessment of Hazards (UP-NOAH) is a multidisciplinary research center housed in the UP National Institute of Geological Sciences with the goal of helping reduce the impacts of hazards. It seeks to assist the country in disaster risk reduction and management, climate change adaptation and mitigation efforts and related activities through research, development and extension services.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Geographical Information Systems,Various,Asia,Philippines,University of the Philippines,None,Spatial Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/philippines-nationwide-operational-assessment-hazards-noah,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/noah-philippines-e-resilience.jpg
77,Arko Philippines Typhoon Application,"The Philippines is hit by several typhoons a year. Most of the time, these cause major flooding that can be a danger to people's life and livelihood. Against this backdrop, the smartphone application Arko aims to address the need of Filipino citizens for more information during times of major rains, typhoons and floods. By accessing the extensive databases of Project NOAH and DOST, Arko enables a user up-to-the-minute updates on rainfall and other weather conditions in close proximity or chosen location.",Risk Reduction,Emergency communications ,production,preparedness,Mobile App,Various,Asia,Philippines," Pointwest Technologies Corporation, NOAH",None,Spatial Data,No Information,2017,https://drrgateway.net/e-resilience/tool/arko-philippines-typhoon-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/arko-application-e-resilience-philippines.jpg
78,Arko Philippines Typhoon Application,"The Philippines is hit by several typhoons a year. Most of the time, these cause major flooding that can be a danger to people's life and livelihood. Against this backdrop, the smartphone application Arko aims to address the need of Filipino citizens for more information during times of major rains, typhoons and floods. By accessing the extensive databases of Project NOAH and DOST, Arko enables a user up-to-the-minute updates on rainfall and other weather conditions in close proximity or chosen location.",Risk Reduction,Emergency communications ,production,response,Mobile App,Various,Asia,Philippines," Pointwest Technologies Corporation, NOAH",None,Spatial Data,No Information,2017,https://drrgateway.net/e-resilience/tool/arko-philippines-typhoon-application,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/arko-application-e-resilience-philippines.jpg
79,Monster Guard Kids Mobile Application,"Monster Guard is a mobile application created by the American Red Cross that is designed specifically for kids with the aim of preparing them for disasters. Follow Maya, Chad, Olivia and all the monsters as they teach kids (aged 7-11) about how to prepare for real-life emergencies-at home plus other environments-in a fun and engaging game.",Risk Reduction,Situational awareness/actionable information gathering ,production,preparedness,Mobile App,Various,Americas,United States of America,American Red Cross,None,None,No Information,2019,https://www.redcross.org/get-help/how-to-prepare-for-emergencies/teaching-kids-about-emergency-preparedness.html/?subcode=monsterguard-retirement-lightbox,https://www.justserve.org/api/images/1df2edf8-2de1-4e61-851d-fc93dce8a2df.png
80,Mobile4D Disaster Alert System for Lao PDR,"In case of natural disasters such as floods and extreme weather, a fast and secure flow of information is essential for citizens to be able to cope with the situation. Mobile4D is a disaster information and alerting system based on smartphone technology to allow both for timely notification of affected stakeholders and easy and barrier-free crowdsourcing of disaster information on the local level in Lao PDR.",Risk Reduction,Disaster Risk Management,production,preparedness,"Mobile App, Crowdsourcing, Artificial Intelligence",Various,Asia,Lao People's Democratic Republic,"Capacity Lab, University of Bremen",None,None,No Information,No Information,https://drrgateway.net/e-resilience/tool/mobile4d-disaster-alert-system-lao-pdr ,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/mobile4d-application-lao-pdr_0.jpg
81,Terai Cross-Border Flood Early Warning System,"Terai is a low-lying region in Northwestern India and Southern Nepal. For years, the area has been affected by recurring floods, resulting in loss of lives. Christian Aid, with its local partner Poorvanchal Gramin Vikas Sansthan (PGVS), initiated a pilot flood early warning system in the Terai region.",Risk Reduction,Disaster assessment/prediction and early warning systems ,prototype,response,"Artificial Intelligence, Remote Sensing",Floods,Asia,"India, Nepal",Christian Aid,None,None,No Information,2017,https://drrgateway.net/e-resilience/tool/terai-cross-border-flood-early-warning-system,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/high-water-123200_1280%281%29.jpg
82,Firetide Wireless Mesh Network Flood Monitoring,"Firetide, Inc., a provider of high-performance wireless infrastructure mesh networks, installed the world’s first mesh network capable of delivering live high-definition (HD) wireless video feeds of river water levels and telemetry data for real-time flood forecasting and historical data collection in Thailand.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,preparedness,"Artificial Intelligence, Remote Sensing",Floods,Asia,Thailand,UNICOM,None,Numerical Data,No Information,2014,https://www.firetide.com/blog/firetide-wireless-mesh-network-helps-thailand-forecast-floods/,https://www.firetide.com/files/6014/3990/2795/2014-10-20_Flood.jpg
83,Firetide Wireless Mesh Network Flood Monitoring,"Firetide, Inc., a provider of high-performance wireless infrastructure mesh networks, installed the world’s first mesh network capable of delivering live high-definition (HD) wireless video feeds of river water levels and telemetry data for real-time flood forecasting and historical data collection in Thailand.",Disaster Risk Management,Situational awareness/actionable information gathering ,production,response,"Artificial Intelligence, Remote Sensing",Floods,Asia,Thailand,UNICOM,None,Numerical Data,No Information,2014,https://www.firetide.com/blog/firetide-wireless-mesh-network-helps-thailand-forecast-floods/,https://www.firetide.com/files/6014/3990/2795/2014-10-20_Flood.jpg
84,Guidelines for Establishing Disaster Loss Databases,"This report documents the experiences of the UNDP Regional Programme on Capacity Building for Sustainable recovery and Risk Reduction in implementing disaster loss databases using the DesInventar methodology.  The DesInventar is based on a relational database structure and a disciplined expert assisted structure for data collection and classification that permits the homogeneous capture, analysis and graphic representation of information on disaster occurrences and losses. ",Disaster Risk Management,Damage and loss assessment ,production,recovery,"Data Collection, Data Analysis",Various,Global,Global,"UNDP, UNDRR",UNDP Regional Centre in Bangkok,Spatial Data,No Information,2015,https://www.asia-pacific.undp.org/content/rbap/en/home/library/climate-and-disaster-resilience/guidelines-n-lessons-disaster-loss-database.html,https://drrgateway.net/sites/default/files/styles/medium/public/e-resilience-toolkit-2017-06/guidelines-undp-disaster-loss-databases.jpg?itok=gxztq5Kt
85,Sai Fah Flood Game Application,"Sai Fah: The Flood Fighter is the first mobile application developed by UNESCO Bangkok and Opendream, was built to raise awareness around flood safety issues following the 2011 deluge in Thailand. The app challenges players of all ages, but particularly children, to learn how to protect themselves and those around them from floods. Players learn flood safety lessons as they encounter flood hazards, from live electrical current to dangerous wildlife.",Risk Reduction,Situational awareness/actionable information gathering,production,preparedness,Mobile App,Floods,Asia,Thailand,Opendream,UNESCO Bangkok,None,No Information,2015,https://drrgateway.net/e-resilience/tool/sai-fah-flood-game-application ,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-06/saifah-flood-game-application.jpg
86,Google Person Finder Platform,Google Person Finder is a web application that allows individuals to post and search for the status of relatives or friends affected by a disaster.,Disaster Risk Management ,Seach and rescue,production,response,Remote sensing,Various,Global,Global,Google,None,Mobile Network Data,No Information,2005,https://support.google.com/personfinder/?hl=en,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1200px-Google_2015_logo.svg.png
87,New Unesco game app Tanah: The Tsunami & Earthquake Fighter teaches children survival skills,"Tanah: Earthquake and Tsunami Fighter is a fun action packed game (mobile application) that makes learning about disaster risk reduction actions interesting and engaging for people of all ages, but particularly children. With more than 20 exciting and challenging stages, Tanah: The Tsunami and Earthquake Fighter, has been developed to engage users to learn how to protect themselves from earthquakes and tsunamis, providing key survival lessons for all phases of disaster – preparedness, response and recovery.",Risk Reduction,Situational awareness/actionable information gathering,production,preparedness,Mobile App,Tsunamis,Global,Global,"Red Cross/Red Crescent Global Disaster preparedness Center (GDPC), Opendream ",UNESCO Bangkok,None,No Information,2016,https://southeastasiaglobe.com/new-unesco-game-app-tanah-the-tsunami-earthquake-fighter-teaches-children-survival-skills/ ,"https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_300/https://southeastasiaglobe.com/wp-content/uploads/2016/01/1024x1024sr-300x300.jpg"
88,Audio-Processing-Based Human Detection at Disaster Sites With Unmanned Aerial Vehicle,"The use of robots to search for people is expected to become an auxiliary tool for saving lives during a disaster. In particular, because UAVs can collect information from the air, there has been much research into human search using UAVs equipped with cameras. However, the disadvantage of cameras is that they struggle to detect people who are hidden in shadows. To solve this problem, we mounted an array microphone on a UAV and to detect the human voice as a means of finding people that cameras cannot. Also a search method is proposed that combines voice and camera human detection to compensate for their respective shortcomings. The rate and accuracy of human detection by the proposed method are assessed experimentally.",Disaster Risk Management ,Seach and rescue,prototype,response,Drones,Various,Global,Global,None,None,Spatial Data,No Information,2020,https://ieeexplore.ieee.org/document/9104665,https://ieeexplore.ieee.org/ielx7/6287639/8948470/9104665/graphical_abstract/access-gagraphic-2998776.jpg
89,Deep-ocean Assessment and Reporting of Tsunamis (DART®) Description ,"DART is composed of real-time tsunami monitoring systems that are positioned at strategic locations (including Australia, Guam, India, Russian Federation and Thailand) throughout the ocean and play a critical role in tsunami forecasting. ",Risk Reduction,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Hurricanes/Typhoons/Cyclones,Global ,Global ,United States National Oceanic and Atmospheric Administration (NOAA)  ,None,Spatial Data,No Information,2021,https://www.ndbc.noaa.gov/dart/dart.shtml ,https://www.ndbc.noaa.gov/dart/dart_mooring.jpg
90,Deep-ocean Assessment and Reporting of Tsunamis (DART®) Description ,"DART is composed of real-time tsunami monitoring systems that are positioned at strategic locations (including Australia, Guam, India, Russian Federation and Thailand) throughout the ocean and play a critical role in tsunami forecasting. ",Risk Reduction,Disaster assessment/prediction and early warning systems  ,production,response,Geographical Information Systems ,Hurricanes/Typhoons/Cyclones,Global ,Global ,United States National Oceanic and Atmospheric Administration (NOAA)  ,None,Spatial Data,No Information,2021,https://www.ndbc.noaa.gov/dart/dart.shtml ,https://www.ndbc.noaa.gov/dart/dart_mooring.jpg
91,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,preparedness,"Artificial Intelligence, Remote sensing",Various,Global ,Global ,ITU,UNECE,None,"SDG 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/12/1-1130x650.jpg
92,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,response,"Artificial Intelligence, Remote sensing",Various,Global ,Global ,ITU,UNECE,None,"SDG 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/12/1-1130x650.jpg
93,Robotics for Good,"ITU have launched a new track on AI for Good that features robots using AI to help advance the SDGs in areas such as disaster management, agriculture, underwater, and social robots. This track features amazing use cases and is one of the most popular tracks of the year introducing AI for Good to an even wider and younger audience.",Disaster Risk Management ,Emergency communications ,validation ,recovery,"Artificial Intelligence, Remote sensing",Various,Global ,Global ,ITU,UNECE,None,"SDG 9, SDG 11, SDG 17",2021,https://aiforgood.itu.int/meet-the-future-robots-for-good/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/12/1-1130x650.jpg
94,AI-powered decision making for disaster recovery,"Artificial Intelligence can step in to coordinate disaster recovery operations and provide accurate geographic information to save lives, minimize property damage and enable responders to be quickly deployed in disaster affected regions.",Disaster Risk Management ,Seach and rescue,validation ,recovery,Artificial Intelligence,Various,Global ,Global ,ITU,None,None,No Information,2021,https://aiforgood.itu.int/event/ai-powered-decision-making-for-disaster-recovery/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/05/1920x1080-AIPoweredDecisionMakingforDisasterRecovery-3-1130x650.png
95,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,preparedness,Artificial Intelligence,Various,Global ,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/08/Using-AI-to-better-understand-natural-hazards-and-disasters.jpg
96,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,mitigation,Artificial Intelligence,Various,Global ,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/08/Using-AI-to-better-understand-natural-hazards-and-disasters.jpg
97,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,response,Artificial Intelligence,Various,Global ,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/08/Using-AI-to-better-understand-natural-hazards-and-disasters.jpg
98,Using AI to better understand natural hazards and disasters,"As the realities of climate change take hold across the planet, the risks of natural hazards and disasters are becoming ever more familiar. Meteorologists, aiming to protect increasingly populous countries and communities, are tapping into artificial intelligence (AI) to get them the edge in early detection and disaster relief.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,validation ,recovery,Artificial Intelligence,Various,Global ,Global ,ITU,None,None,"SDG 11, SDG 13, SDG 15",No Information,https://aiforgood.itu.int/using-ai-to-better-understand-natural-hazards-and-disasters/,https://2ja3zj1n4vsz2sq9zh82y3wi-wpengine.netdna-ssl.com/wp-content/uploads/2021/08/Using-AI-to-better-understand-natural-hazards-and-disasters.jpg
99,Drones for disaster damage assessment in Vanuatu,"Cyclone Pam struck the South Pacific archipelago nation of Vanuatu on 13–14 March 2015. It was one of the worst disasters to hit Vanuatu, destroying thousands of buildings and leaving around 75 000 people homeless. Relief efforts were quickly organized, with a strong need for assessment of the areas affected. Drones were felt to be an ideal solution for rapid and granular evaluation of the situation, particularly since cloud cover obscured satellite images",Disaster Risk Management ,Disaster assessment/prediction and early warning systems ,production,recovery,Drones,Hurricanes/Typhoons/Cyclones,Oceania,Vanuatu,"Humanitarian UAV Network (UAViators),  The Civil Aviation Authority of Vanuatu, World Bank, Government of Vanuatu",None,Spatial Data,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
100,Drones for disaster damage assessment in Vanuatu,"Cyclone Pam struck the South Pacific archipelago nation of Vanuatu on 13–14 March 2015. It was one of the worst disasters to hit Vanuatu, destroying thousands of buildings and leaving around 75 000 people homeless. Relief efforts were quickly organized, with a strong need for assessment of the areas affected. Drones were felt to be an ideal solution for rapid and granular evaluation of the situation, particularly since cloud cover obscured satellite images",Disaster Risk Management ,Disaster assessment/prediction and early warning systems ,production,mitigation,Drones,Hurricanes/Typhoons/Cyclones,Oceania,Vanuatu,"Humanitarian UAV Network (UAViators),  The Civil Aviation Authority of Vanuatu, World Bank, Government of Vanuatu",None,Spatial Data,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
101,"Twitter during the Chennai flood, India","Monsoons regularly affect Southern India during the months of October to December. However, in 2015 the amount of rainfall was 90 per cent above normal, attributed to the El Niño effect. It was the worst rainfall in 100 years, causing severe flooding, which was magnified as a result of sprawling urban development and inadequate drainage systems. It was estimated that more than 500 people died and 1.8 million people were displaced during the several weeks of flooding. Although emergency telephone numbers were established, they were overloaded, making it difficult to get through, making social media such as Facebook and Twitter a popular method for communication for those with Internet access.",Risk Reduction,Emergency communications ,production,response,Social Media,Floods,Asia,India,Twitter India,None,None,No Information,2015,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
102,"Financial big data for Hurricane Odile, Mexico","Researchers from BBVA Data and Analytics and United Nation Global Pulse used Big Data techniques to explore the relationship between financial transactions in the state (bank card payments and ATM cash withdrawals) before, during and after Odile, to analyse its economic impact on those affected. This analysis can improve understanding about which groups are most affected for targeting post-disaster assistance, how long it takes to return to normal, and how to generate estimates of the economic impact.",Risk Reduction,Disaster relief logistic/resource allocation ,production,mitigation ,"Big Data, Data Analysis",Hurricanes/Typhoons/Cyclones,Americas,Mexico,BBVA Data and Analytics,United Nation Global Pulse,Numerical Data,No Information,2014,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
103,Disaster robots in Japan: Little Sunfish and others,Japan is a pioneering centre for the use of robots in disasters. The Human–Robot Informatics Laboratory of Tohoku University31 is active in developing several types of robots for disaster response,Disaster Risk Management ,Seach and rescue,prototype,response,"Cyber Physical Systems, Remote Sensing",Various,Asia,Japan,"The Human–Robot Informatics Laboratory of Tohoku University, Hitachi, Mitsubishi, Toshiba, Honda",None,None,No Information,2017,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
104,Disaster robots in Japan: Little Sunfish and others,Japan is a pioneering centre for the use of robots in disasters. The Human–Robot Informatics Laboratory of Tohoku University31 is active in developing several types of robots for disaster response,Disaster Risk Management ,Seach and rescue,prototype,recovery,"Cyber Physical Systems, Remote Sensing",Various,Asia,Japan,"The Human–Robot Informatics Laboratory of Tohoku University, Hitachi, Mitsubishi, Toshiba, Honda",None,None,No Information,2017,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
105,Internet of Things for river flooding control in Colombia, The Colombia Government National Unit for Disaster Risk Management hired a Colombia-based company to implement an early warning system using IoT technology. Five solar-powered sensors were installed along the Liboriana and two other rivers to monitor water levels and air temperature using ultrasound. The use of solar ensures the sensors continue to function in the event of an electricity outage,Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Remote Sensing,Floods,Americas,Colombia," Government of Colombia, Colombia Government National Unit for Disaster Risk Management",None,None,No Information,2016,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
106,ConvNetQuake: Artificial intelligence for earthquake detection and prediction,"A new approach uses AI to reduce waveform analysis processing while retaining location information. Developed by a team of researchers at Harvard University and the Massachusetts Institute of Technology, ConvNetQuake implements AI based on convolutional neural network computer learning",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,"Artificial Intelligence, Machine Learning, Geographical Information Systems",Earthquakes,Americas,United States of America,"Harvard University, Massachusetts Institute of Technology",,Numerical Data,No Information,2018,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
107,: Using ground sensor technology to detect earthquakes,"One technique used in earthquake early warning systems is a network of specialized ground sensors similar to IoT. Seismic sensors are deployed in earthquake-prone areas. Data are transmitted from the sensors to a central site, where the information is processed for signals that might indicate an earthquake is likely. This method takes longer to detect earthquakes than a single station, but is more accurate and has greater resiliency.",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Earthquakes,Americas,United States of America,No Information,No Information,Spatial Data,No Information,No Information,https://www.itu.int/en/ITU-D/Emergency-Telecommunications/Documents/2019/GET_2019/Disruptive-Technologies.pdf,https://reliefweb.int/sites/reliefweb.int/files/styles/attachment-large/public/resources-pdf-previews/1264193-Disruptive-Technologies.png?itok=_ePoIjbB
108,Strong-motion seismograph networks(K-NET),"The Japan network K-NET (Kyoshin network) consists of more than 1 000 seismographs uniformly distributed every 20 km. Data are transmitted to the National Research Institute for Earth Science and Disaster Resilience, and made available to the public over a website",Disaster Risk Management ,Disaster assessment/prediction and early warning systems  ,production,preparedness,Geographical Information Systems ,Earthquakes,Asia,Japan,"K-NET (Kyoshin Network), KiK-net (Kiban Kyoshin Network) ",No Information,Spatial Data,No Information,2022,https://www.kyoshin.bosai.go.jp/,https://www.kyoshin.bosai.go.jp/kyoshin/images/header_tougou_en.png
109,"Be Healthy, Be Mobile (BHBM)","The Be Healthy, Be Mobile (BHBM) initiative was set up by the World Health Organization (WHO) and the International Telecommunication union (ITU) in 2012. BHBM works with governments to scale up targeted client communication messaging services for NCDs and their risk factors. The approach is designed to be scalable: instead of promoting specific products, it provides cross-cutting health content and technical support which can be used and incorporated into other services and applications. It also works to develop the broader ecosystem, helping ensure that the messaging service and content of each health programme is integrated and reinforces other health services. In doing so, each programme becomes a sustainable part of the health system whilst also helping to promote health and wellbeing around the world.",Health,Emergency communications,production,preparedness,Mobile App,Various,Global,Global,ITU,WHO,Mobile Network Data ,SDG 3,2019,https://www.who.int/activities/Addressing-mobile-health,https://www.who.int/images/default-source/imported/digital-health/digital-health---fr.tmb-1920v.jpg?Culture=en&sfvrsn=a3823351_14
110,"Be Healthy, Be Mobile (BHBM)","The Be Healthy, Be Mobile (BHBM) initiative was set up by the World Health Organization (WHO) and the International Telecommunication union (ITU) in 2012. BHBM works with governments to scale up targeted client communication messaging services for NCDs and their risk factors. The approach is designed to be scalable: instead of promoting specific products, it provides cross-cutting health content and technical support which can be used and incorporated into other services and applications. It also works to develop the broader ecosystem, helping ensure that the messaging service and content of each health programme is integrated and reinforces other health services. In doing so, each programme becomes a sustainable part of the health system whilst also helping to promote health and wellbeing around the world.",Health,Emergency communications,production,response,Mobile App,Various,Global,Global,ITU,WHO,Mobile Network Data ,SDG 3,2019,https://www.who.int/activities/Addressing-mobile-health,https://www.who.int/images/default-source/imported/digital-health/digital-health---fr.tmb-1920v.jpg?Culture=en&sfvrsn=a3823351_14
111,GEOSS Global Earth Observation Portal ,"Global Earth Observation System of Systems (GEOSS) is a set of coordinated, independent Earth observation, information and processing systems that interact and provide access to diverse information for a broad range of users in both public and private sectors.",Risk Reduction,Disaster assessment/prediction and early warning systems ,production,preparedness,Geographical Information Systems,Various,Global,Global,European Space Agency (ESA) ,None,Spatial Data,No Information,2016,https://drrgateway.net/e-resilience/tool/geoss-global-earth-observation-portal ,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/geoss-earth-observatory-e-resilience.jpg
112,MapX: Open Source Environmental Web Mapping,"UNEP/GRID-Geneva and UN Environment have developed MapX, an online platform for managing geospatial data on natural resources. Field applications of MapX are varied and include chemicals management, disaster risk reduction, biodiversity planning, land use planning, extractive industry, renewable energy and environmental security. MapX targets a wide community of users that are primarily UN Environment and partners, the Secretariats of Multilateral Environmental Agreements (MEAs) and other UN agencies mandated to collect and use geospatial data in environmental decision making. Civil society groups, non-governmental organizations, academia and citizens complement this set of users. MapX was designed in 2014 and since then continuously improved with wide international stakeholder consultations. MapX is fully integrated into the World Environment Situation Room, which is the UNEP data and knowledge platform.",disaster risk reduction,Disaster Risk Management,production,preparedness,Data analysis ,Various,Global,Global,GRID-Geneva,UNEP,Spatial Data,No Information,2015,https://www.mapx.org/,https://www.mapx.org/wp-content/uploads/2017/09/Rev-1-final-blue.png
113,Haze Gazer,"Haze Gazer is a real-time visual analytics tool for enhanced disaster management. The forest and peatland fires, which occur on an annual basis in Indonesia, affect the entire Southeast Asian region resulting in extensive
environmental destruction and threatening livelihoods. Indonesian disaster management authorities are looking for more timely and effective
means of tracking and managing the impact of fire and haze events.

Pulse Lab Jakarta, in collaboration with the Government of Indonesia,
developed ‘Haze Gazer,’ a crisis analysis tool that provides real-time situational information from various data sources to enhance disaster
management efforts. The prototype uses advanced data analysis of sources including: satellite imagery, information on population density and
distribution from government databases, citizen-generated data and real-time data from social media. The capability afforded by the tool can
enhance disaster risk management efforts to protect vulnerable populations as well as the environment.",Disaster Risk Management,Disaster Risk Management,prototype,mitigation,Data analysis,Wildfires,Asia,Indonesia,Government of Indonesia,UN Global Pulse,Spatial Data,No Information,2016,http://hazegazer.org/,http://hazegazer.org/assets/image/hazergazoricon/HGlogo.png
114,Low Cost Sensors for Pollution Monitoring,"Air quality data in many low and middle-income countries are difficult to acquire and manage. This is because the cost of regulatory grade instruments are prohibitive and equipment are difficult and costly to maintain. UN Environment has advocated for the use of low-cost sensors to fill the data gap and championed the development of an open source air quality monitoring device.
",disaster risk reduction,Disaster Risk Management,production,mitigation ,"Data analysis, Remote Sensing",Climate Change,Global,Global,South Coast Science,"UN-Habitat, UNEP",Sensor Data,"SDG 11, SDG 3",2016,https://news.un.org/en/story/2015/09/507692-un-environment-agency-unveils-low-cost-device-air-quality-monitoring,https://global.unitednations.entermediadb.net/assets/mediadb/services/module/asset/downloads/preset/assets/2015/09/22463/image1170x530cropped.jpg
